ngram,freq
pas le droit de,239617
d' un autre cote,239159
mise en place de,239024
ne sais pas ce,238941
tout a la fois,238161
est l' un des,238066
ce que nous avons,237749
mise en place d',237216
"plus tard , le",236986
quelle que soit la,236876
le cas de la,236591
du XX e siecle,236098
en direction de la,235951
en fin de compte,235927
de la salle de,235828
de l' histoire de,235719
la forme d' un,235102
je me suis dit,234570
un peu plus tard,234441
a l ' interieur,234164
a partir de l',233405
vous ne pouvez pas,233342
de la jeune fille,233177
l' aide d' un,232720
"moi , je ne",232338
a cote d' elle,230937
dans tous les sens,230192
de ce qui se,230125
au moment où il,229014
par le biais de,228359
de la vie de,228213
"en effet , il",227378
l' un a l',226639
dans le cadre des,226126
est d' autant plus,226007
et il y a,225388
l' existence d' une,224617
a la porte de,224325
le point de vue,224169
a la place de,222670
de la mort de,222665
de la fin du,222442
je ne sais plus,222432
ne sont pas les,222230
un a l' autre,221852
nous l' avons vu,220985
a l' exception de,219934
je lui ai dit,219300
a l' image de,218872
"par exemple , le",218220
de l' ensemble des,217978
plus en plus de,217873
un quart d' heure,217472
il d' un ton,217335
un certain nombre d',216697
du cote de la,216687
de ce point de,216624
sur le fait que,216546
au cours d' une,215281
l' une des plus,215275
ou d' une autre,214757
un signe de tete,214520
ce qui a eté,214325
les yeux au ciel,213886
et en meme temps,213693
tant bien que mal,213521
apres la mort de,213404
"en effet , l'",212639
et que l' on,212165
tout ce que vous,212136
il est important de,212107
il faut que tu,210926
ce que tu fais,210804
a l' instar de,210773
ne l' ai pas,210694
la prise en compte,210109
au centre de la,209737
dans les bras de,208640
a la hauteur de,208635
dans les deux cas,208612
dans le cas d',208112
il est difficile de,207734
je sais que tu,207711
l' entree de la,207492
il ne pouvait pas,206537
a l ' autre,205302
que la plupart des,205028
se dirigea vers la,204835
la forme d' une,204669
ne l' a pas,204183
au sein d' une,204138
ce que je peux,204074
peu de temps apres,203321
que je l' ai,203128
tout ce que tu,202867
l' autre cote du,202585
de l ' eau,202525
les membres de la,202100
de ce que je,201741
de la Cour de,201525
l' une de ses,201160
a la fois de,201017
de l ' entreprise,200489
a partir d' un,199529
de l ' histoire,199500
du fait de la,198632
nous ne pouvons pas,198348
l' un d' entre,198324
il y en avait,197939
le cadre de l',197495
il ne voulait pas,197397
au bout d' une,197300
"par exemple , la",197274
au bout de la,197220
l' idee d' une,197150
l' origine de la,196502
l' evolution de la,196484
la place de la,194889
il en est de,194430
est tout a fait,194351
et d' autre part,193637
l ' une des,193315
elle se mit a,193274
la premiere fois depuis,192828
il y a bien,192633
avec un peu de,192457
afin de ne pas,192043
a ce que je,191997
où l ' on,191724
d' un seul coup,191715
en dehors de la,191672
je ne me suis,190980
a cote de moi,190876
de toutes ses forces,190487
l ' ensemble des,189511
qui que ce soit,189310
quelques minutes plus tard,189053
on l' a vu,188753
le fait que les,188418
ce que vous voulez,188325
de la maison de,187920
en est de meme,187912
d ' autre part,187678
l' un de ces,187513
ne crois pas que,187138
de l ' article,187125
sur le plan de,186911
a partir d' une,186511
faire l' objet d',186346
au meme titre que,185982
et a mesure que,185823
a l' entree de,185772
que je viens de,185740
mardi au samedi de,185592
et de l' autre,185537
dans le cas où,185180
il y a toujours,185139
a l' encontre de,185130
l' une d' elles,185043
droit dans les yeux,184927
"de plus , il",184138
au niveau de l',183871
la creation d' un,183831
se mit a rire,183826
"par exemple , les",183773
de ne pas se,183748
le Conseil d' État,183396
"en fait , il",182945
si l' on veut,182779
y a quelque chose,182106
tout d' un coup,181666
dans le sens de,181480
au moment de l',181085
la recherche d' un,181070
au long de la,180962
le point de depart,180602
le reste de l',180364
il se tourna vers,180323
bout d' un moment,180282
en faveur de la,180107
une grande partie de,179927
par le fait que,179637
il y a quelque,179039
a l' epoque de,178960
de ce que nous,178811
comme tout le monde,178809
au fil du temps,178502
la tete d' un,178294
"et , d' autre",178172
quelques jours plus tard,177937
de la part du,177130
la question de savoir,176994
elle ne voulait pas,176721
au pied de la,176656
le cadre d' un,176192
les uns des autres,175954
au bord de l',175858
la suite de la,175123
la cour d' appel,175034
pas eu le temps,174998
la mort de son,174932
le principe de la,174489
a l' egard du,174407
a partir de ce,174380
de la vie et,174360
tout le monde se,174350
que l' on appelle,174263
du XVIII e siecle,174166
on ne peut plus,174068
la theorie de la,173997
ce qui concerne le,173780
il y a plus,173744
au service de la,173689
l' aide d' une,173679
comme je l' ai,173663
dans ses bras et,173004
on ne sait pas,172826
et se dirigea vers,172730
pas tout de suite,172493
de ce que l',172423
dans la chambre de,171255
pas la peine de,171249
la presence d' un,171172
je l ' ai,170875
d' une certaine maniere,170690
il y a la,170680
de la notion de,170273
il faut dire que,170265
au debut de la,169736
un peu de temps,169573
la plus grande partie,169502
la Premiere Guerre mondiale,169116
le temps de la,168566
l' importance de la,168457
le developpement de la,168039
un d' entre eux,167737
ce qui est de,167692
ce que je fais,167680
tu ne veux pas,167638
en train de faire,167589
parce que je ne,167409
"moi , je suis",167280
en raison de l',167090
sous la forme de,167051
je ne connais pas,166143
je suis sûr que,166072
rien d' autre que,166069
l ' histoire de,165957
tout ce qui se,165863
au sein d' un,165599
de la plupart des,165278
et ainsi de suite,164970
dans le cas des,164808
au point de vue,163923
a ce que les,163502
d ' une part,163320
sur la table de,162891
la premiere fois de,162688
au sujet de la,162501
pas l' intention de,162298
a l ' heure,162027
que l' on puisse,161925
au milieu d' un,161339
au milieu d' une,161105
la mise en scene,161100
par l' intermediaire de,160890
avait du mal a,160867
"bien sûr , mais",160800
a l' interieur d',160754
il ne peut pas,160675
a ce que l',160414
pour tout le monde,160242
sur la pointe des,160198
elle ne pouvait pas,160095
il avait l' air,159987
il y a longtemps,159898
"Paris , L' Harmattan",159649
dans le meme sens,159555
je l' ai vu,159532
la pointe des pieds,159416
le temps de se,159030
"bien sûr , il",158923
a cause de l',158877
comme on l' a,158729
elle d' un ton,158445
tout le monde est,158333
a l ' epoque,157927
a un moment donne,157901
que je ne l',157785
dans l' histoire de,157402
en fonction de l',157009
ne l' est pas,156910
le sens de l',156787
au debut de l',156678
a la difference de,156626
le fait que la,156613
le fait que le,156563
l' air d' un,156458
l' espace d' un,156433
ne sont que des,156377
l' image de la,155988
de l ' enfant,155976
que je vous ai,155735
coin de l' œil,155680
je ne suis plus,155539
d' une certaine façon,155525
a propos de l',155478
il est necessaire de,155324
de la ville et,155264
a l' epoque où,155160
a l' issue de,155087
tout au long du,155063
il en va de,155034
de la vie quotidienne,154891
il est evident que,154557
les hommes et les,154241
du Code de la,154171
il y a donc,154079
de la loi de,154071
a la mort de,154034
est a l' origine,153781
l' autre bout de,152990
dans le domaine des,152870
la recherche d' une,152800
quelques annees plus tard,152641
la moitie de la,152541
on peut dire que,152496
tout ce que nous,152490
d ' une voix,152279
depuis le debut de,152075
et d ' une,151941
plus d' une fois,151846
la porte de l',151796
des hommes et des,151717
d ' autant plus,151714
partir du moment où,151565
de l' un des,151231
du coin de l',151199
tout de meme pas,151151
au XIX e siecle,151034
ne veux pas que,151029
ne veut pas dire,150932
l' interieur de l',150890
ne vous inquietez pas,150834
je ne l' avais,150771
a l ' egard,150681
de tout le monde,150546
de la façon dont,150367
la mesure où il,150340
je sais que je,150256
dans la region de,150182
a la fois la,150117
le probleme de la,149910
"plus tard , elle",149368
membres de la famille,149342
dans le monde entier,149280
le jour de la,149225
la creation d' une,149101
de vue de la,149038
fait l' objet de,148782
l' idee d' un,148596
entre les mains de,148473
a la fois le,148330
ce que je suis,148104
chef de l' État,147935
et je l' ai,147827
le chemin de la,147644
où il y a,147617
bien sûr que non,146847
mais il y avait,146678
y a quelques annees,146561
ne parvenait pas a,146321
chaque fois que je,146232
au cours des annees,145987
mais je ne suis,145933
le moins du monde,145844
l' impression d' avoir,145803
a la demande de,145788
la plupart d' entre,145763
"en revanche , il",145762
ce que je sais,145372
du bout des doigts,145216
l' autre bout du,145065
fin de l' annee,144903
certains d' entre eux,144752
etait sur le point,144518
"oui , bien sûr",144497
mais je ne peux,144495
et tout le monde,144271
le domaine de l',144181
a la vue de,143965
quelque chose de plus,143825
en secouant la tete,143721
que l' on se,143654
de mettre en place,143518
est l' une des,143443
un ou l' autre,143436
le tour de la,143353
je me demande si,143339
"et moi , je",143128
que je veux dire,143110
il y avait de,143025
il est impossible de,142897
sur la route de,142834
il y a trois,142744
sur le chemin de,142730
tu veux que je,142606
le nom de la,142474
comme si elle avait,142437
que je ne peux,142421
"en fait , je",142413
a l' endroit où,142399
le role de la,142367
l' une de ces,142335
et de ne pas,142064
est loin d' etre,142058
le cas de l',141993
de l' etat de,141944
en va de meme,141886
je ne voudrais pas,141871
dans l' esprit de,141799
sur le visage de,141734
"pour cela , il",141481
autre bout de la,141432
pas ce que je,141134
faire en sorte que,141116
par la loi du,141047
je vous l' ai,140922
un coup de pied,140905
l' egard de la,140703
la suite d' une,140696
je ne veux plus,140664
la plupart des gens,140631
dans la vie de,140574
ce ne serait pas,140552
"eh bien , je",140520
dans un coin de,140430
a l' abri des,140259
a l' interieur des,140218
ne sais pas comment,140197
l' un des deux,140192
je suis sûre que,139850
il ne fallait pas,139828
d' un signe de,139506
de la rue de,139352
l' ensemble de l',139318
l' un ou l',139038
la protection de la,138842
que ce ne soit,138766
parce que je suis,138742
au plus profond de,138637
la seconde moitie du,138038
la place de l',137910
d' un homme qui,137669
a l' abri de,137263
au cours de laquelle,136973
il y a le,136955
ce qui concerne l',136878
au cœur de l',136826
"l' autre , et",136756
au debut du chapitre,136663
a la lumiere de,136537
ce que je vais,136504
dans les rues de,136368
il y a beaucoup,136264
il y a encore,136076
la tete de la,135812
il y avait aussi,135762
l' effet de la,135532
dans la maison de,135376
ne pense pas que,135105
ce que je voulais,134997
de ce que vous,134895
l ' idee de,134885
sous l' effet de,134858
sur le point d',134832
"en effet , si",134715
"plus tard , la",134362
sur le bord de,134335
en face de lui,134326
premiere fois que je,134326
la base de la,134077
a partir des annees,133894
eu l' occasion de,133857
leva les yeux vers,133674
a l' occasion d',133672
dans une sorte de,133431
les larmes aux yeux,133349
il est clair que,133060
de l ' annee,133015
jeter un coup d',132985
dans une certaine mesure,132869
ce que je vous,132855
"de plus , les",132709
a cote de l',132663
"d' ailleurs , il",132565
que je ne me,132561
a l' etat de,132521
il ne savait pas,132475
de la qualite de,132417
droits de l' Homme,132342
la direction de la,132280
de la maniere dont,132178
de l ' ordre,132073
dans le contexte de,132023
elle secoua la tete,131854
la recherche de la,131760
une partie de l',131722
je veux que tu,131653
est de plus en,131637
le developpement de l',131635
le chef de la,131584
procureur de la Republique,131260
a la base de,131062
je ne me souviens,131041
de la nature et,130794
la nature de la,130789
Retour au debut du,130681
midi et le soir,130611
je me souviens de,130485
je te l' ai,130482
la fin de sa,130421
en face de la,130290
au cours de cette,130259
ce que je ne,130176
pour ne pas dire,130146
de la societé civile,130029
de l ' Union,129799
ce ne sera pas,129771
il secoua la tete,129635
la qualite de l',129571
le role de l',129565
la derniere fois que,129548
pour ne pas etre,129526
il y a peu,129519
a l' idee que,129439
"de plus , la",129415
europeenne des droits de,129246
a l' ensemble des,129102
elles ne sont pas,129087
et la mise en,129035
mise en œuvre des,128954
quelques instants plus tard,128837
la façon dont il,128658
la vie de l',128635
il y a la,128565
fin de la guerre,128502
en vue de la,128468
a mettre en œuvre,128446
un ni l' autre,128340
"en revanche , les",128318
l' un ni l',128316
que l' on pourrait,128163
ni l' un ni,128043
un grand nombre d',127894
la nature de l',127799
dans l' espoir de,127779
de l' Universite de,127761
a l' entree du,127750
la qualite de la,127663
"cette fois , il",127566
et d ' un,127554
je suis en train,127502
tu ne vas pas,127394
avec l' aide de,127392
a l ' aide,127068
où l' on peut,126989
Emploi projete au Canada,126895
la theorie de l',126810
"plus tard , en",126694
l' occasion de la,126591
de l' État et,126580
l' etude de la,126467
a travers le monde,126420
le midi et le,126364
l' on ne peut,126229
en faveur de l',125969
de l' eau et,125897
de telle sorte que,125858
"que , dans le",125748
l ' absence de,125577
de la presence de,125521
a la sortie de,125503
la Cour de justice,125299
au moment où elle,125225
de la Seconde Guerre,125179
d' une sorte de,125135
je me dis que,125046
ne suis pas un,125012
je sais ce que,124990
"une part , et",124931
il est temps de,124921
la protection de l',124794
elle se tourna vers,124768
sur la base d',124744
d' huile d' olive,124650
la main sur le,124618
le chef de l',124568
a tous ceux qui,124470
l' ordre du jour,124404
en se tournant vers,124343
d' une maniere générale,124321
de la part d',124180
a partir du moment,124160
dans la salle a,124128
compte tenu de la,124124
"par exemple , l'",124070
ne tarda pas a,124000
l' heure de la,123985
si l' on peut,123800
le long de son,123780
dans le cas contraire,123714
de la proprieté intellectuelle,123691
le bord de la,123620
l' application de la,123596
ça ne va pas,123556
sais pas ce que,123531
l ' un de,123232
ce que vous faites,123121
pour cette raison que,123056
le debut de l',122952
de la tete aux,122699
l' objet de la,122690
au long de l',122582
la fin du mois,122556
qui ne va pas,122403
que l' on trouve,122268
la seule chose qui,122073
et que je ne,121974
projete au Canada en,121854
plus de la moitie,121818
application de l' article,121813
"de plus , le",121739
du fait de l',121708
de mise en œuvre,121637
je l' ai fait,121594
"plus tard , je",121571
prise en compte de,121426
les uns aux autres,121235
"d' abord , il",121193
la tete aux pieds,121150
le respect de la,121079
la suite de l',121030
la tete de l',121030
dessus de sa tete,120934
la prise de conscience,120908
a l' universite de,120810
un coup de main,120808
"en effet , dans",120754
dans un contexte de,120727
il est possible d',120716
de tout ce que,120469
les droits de l',120458
que je ne le,120335
de meme que les,120183
pour la derniere fois,120173
je ne pensais pas,120113
d' une partie de,119809
a du mal a,119680
sont de plus en,119642
que tu as fait,119463
y a de plus,119351
l' idee de la,119161
ce qui est en,119150
de l ' art,119046
du XVII e siecle,119028
a l' exterieur de,119021
l' ombre d' un,118855
"et moi , nous",118614
une fois pour toutes,118590
de l ' auteur,118563
il est possible que,118536
des membres de la,118515
le controle de la,118221
a tout ce qui,118161
le plus grand nombre,118092
contrairement a ce que,118030
de la fin de,118018
espace d' un instant,117976
mais en meme temps,117926
a quel point il,117883
ne l' avait jamais,117854
au sommet de la,117720
ministre de l' Interieur,117653
un apres l' autre,117610
en place d' un,117584
il y a du,117534
la lutte contre la,117306
que nous venons de,117302
milieu de la nuit,117168
l' un apres l',117141
et il y avait,117092
l' egard de l',117062
comme si elle etait,117039
tout le monde a,117037
les uns et les,116952
d' une maniere ou,116946
de l' endroit où,116932
de la guerre de,116722
le monde de la,116662
de pommes de terre,116645
uns et les autres,116526
a chaque fois que,116482
au coin de la,116338
tu ne sais pas,116243
"en revanche , la",116208
a la fois un,116164
le nom de l',116141
pas la premiere fois,116126
il y a dans,116058
ce qui est arrive,115985
de tous les jours,115827
la lumiere de la,115807
me suis dit que,115799
a l ' origine,115779
a la liste des,115749
l ' occasion de,115709
la peine de mort,115613
si l' on ne,115590
la surface de la,115559
dans le champ de,115556
une bonne partie de,115496
d' apres ce que,115476
il y a les,115371
de ne pas le,115361
le plus vite possible,115319
au nom de l',115270
a l' ecart de,115257
au moment où le,115210
le seuil de la,115090
au moment meme où,114870
dans l' un des,114836
une maniere ou d',114793
le fait que l',114770
je ne dis pas,114609
"moi aussi , je",114607
l' effet d' une,114581
l ' objet d,114567
a ce que le,114539
maniere ou d' une,114535
a l' heure actuelle,113998
